!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9951397326852977, "ud.sym": 0.004860267314702308}
confirment	{"ud.verb": 1.0}
confirmer	{"ud.verb": 1.0}
confirmé	{"ud.verb": 1.0}
confié	{"ud.verb": 1.0}
confiée	{"ud.verb": 1.0}
confiés	{"ud.verb": 1.0}
conflit	{"ud.noun": 1.0}
conflits	{"ud.noun": 1.0}
confluent	{"ud.noun": 1.0}
confondue	{"ud.verb": 1.0}
confondus	{"ud.adj": 0.3333333333333333, "ud.verb": 0.6666666666666666}
conforme	{"ud.verb": 0.16666666666666666, "ud.adj": 0.8333333333333334}
conformément	{"ud.adv": 1.0}
confort	{"ud.noun": 1.0}
confortable	{"ud.adj": 1.0}
confortables	{"ud.adj": 1.0}
confronté	{"ud.verb": 1.0}
confus	{"ud.adj": 1.0}
confusion	{"ud.noun": 1.0}
confédération	{"ud.noun": 0.5, "ud.propn": 0.5}
confédérations	{"ud.noun": 1.0}
confédéré	{"ud.adj": 0.3333333333333333, "ud.verb": 0.6666666666666666}
conférence	{"ud.noun": 1.0}
conférences	{"ud.noun": 1.0}
congo	{"ud.propn": 1.0}
congrès	{"ud.noun": 0.6363636363636364, "ud.propn": 0.36363636363636365}
congrégation	{"ud.noun": 0.9090909090909091, "ud.propn": 0.09090909090909091}
conjoint	{"ud.noun": 1.0}
connais	{"ud.verb": 1.0}
connaissait	{"ud.verb": 1.0}
connaissance	{"ud.noun": 1.0}
connaissances	{"ud.noun": 1.0}
connaissent	{"ud.verb": 1.0}
connaissez	{"ud.verb": 1.0}
connaissons	{"ud.verb": 1.0}
connait	{"ud.verb": 1.0}
connaitre	{"ud.verb": 1.0}
connaît	{"ud.verb": 1.0}
connaître	{"ud.verb": 1.0}
connexion	{"ud.noun": 1.0}
connu	{"ud.verb": 0.9855072463768116, "ud.adj": 0.014492753623188406}
connue	{"ud.verb": 0.9285714285714286, "ud.adj": 0.07142857142857142}
connues	{"ud.verb": 0.9, "ud.adj": 0.1}
connus	{"ud.verb": 0.7391304347826086, "ud.adj": 0.2608695652173913}
connut	{"ud.verb": 1.0}
conquis	{"ud.verb": 0.6666666666666666, "ud.adj": 0.3333333333333333}
conquérir	{"ud.verb": 1.0}
conquête	{"ud.noun": 0.9, "ud.propn": 0.1}
conquêtes	{"ud.noun": 1.0}
conrad	{"ud.propn": 1.0}
consacra	{"ud.verb": 1.0}
consacre	{"ud.verb": 1.0}
consacrer	{"ud.verb": 1.0}
consacré	{"ud.verb": 1.0}
consacrée	{"ud.verb": 1.0}
conscience	{"ud.noun": 1.0}
conscient	{"ud.adj": 1.0}
conseil	{"ud.noun": 0.9809523809523809, "ud.propn": 0.01904761904761905}
conseille	{"ud.verb": 1.0}
conseiller	{"ud.noun": 0.8, "ud.verb": 0.2}
conseillers	{"ud.noun": 1.0}
conseillère	{"ud.noun": 1.0}
conseillé	{"ud.verb": 1.0}
conseils	{"ud.noun": 1.0}
conservateur	{"ud.noun": 0.3333333333333333, "ud.adj": 0.6666666666666666}
conservateurs	{"ud.adj": 0.5, "ud.noun": 0.5}
conservation	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
conservatoire	{"ud.noun": 0.7777777777777778, "ud.propn": 0.2222222222222222}
conserve	{"ud.verb": 0.8461538461538461, "ud.noun": 0.15384615384615385}
conservent	{"ud.verb": 1.0}
conserver	{"ud.verb": 1.0}
conservé	{"ud.verb": 1.0}
conservés	{"ud.verb": 1.0}
considère	{"ud.verb": 1.0}
considèrent	{"ud.verb": 1.0}
considérable	{"ud.adj": 1.0}
considérablement	{"ud.adv": 1.0}
considérables	{"ud.adj": 1.0}
considérait	{"ud.verb": 1.0}
considérant	{"ud.verb": 1.0}
considéré	{"ud.verb": 1.0}
considérée	{"ud.verb": 1.0}
considérées	{"ud.verb": 1.0}
considérés	{"ud.verb": 1.0}
consistait	{"ud.verb": 1.0}
consiste	{"ud.verb": 1.0}
consistent	{"ud.verb": 1.0}
console	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
consolidation	{"ud.noun": 1.0}
consommateur	{"ud.noun": 1.0}
consommateurs	{"ud.noun": 1.0}
consommation	{"ud.noun": 1.0}
consomme	{"ud.verb": 1.0}
consommé	{"ud.verb": 1.0}
constamment	{"ud.adv": 1.0}
constance	{"ud.propn": 1.0}
constant	{"ud.adj": 1.0}
constante	{"ud.noun": 0.375, "ud.adj": 0.625}
constantinople	{"ud.propn": 1.0}
constat	{"ud.noun": 1.0}
constate	{"ud.verb": 1.0}
constater	{"ud.verb": 1.0}
constaté	{"ud.verb": 1.0}
constellation	{"ud.noun": 1.0}
constituaient	{"ud.verb": 1.0}
constituait	{"ud.verb": 1.0}
constituant	{"ud.noun": 0.14285714285714285, "ud.verb": 0.8571428571428571}
constitue	{"ud.verb": 1.0}
constituent	{"ud.verb": 1.0}
constituer	{"ud.verb": 1.0}
constitution	{"ud.propn": 0.22727272727272727, "ud.noun": 0.7727272727272727}
constitutionnel	{"ud.adj": 1.0}
constitué	{"ud.adj": 0.043478260869565216, "ud.verb": 0.9565217391304348}
constituée	{"ud.verb": 1.0}
constitués	{"ud.verb": 1.0}
constructeur	{"ud.noun": 1.0}
construction	{"ud.noun": 0.9824561403508771, "ud.propn": 0.017543859649122806}
constructions	{"ud.noun": 1.0}
construire	{"ud.verb": 1.0}
construisit	{"ud.verb": 1.0}
construit	{"ud.verb": 1.0}
construite	{"ud.verb": 1.0}
construites	{"ud.verb": 1.0}
construits	{"ud.verb": 1.0}
consul	{"ud.noun": 1.0}
consultatif	{"ud.adj": 1.0}
consultation	{"ud.noun": 1.0}
consultations	{"ud.noun": 1.0}
consulter	{"ud.verb": 1.0}
consécration	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
consécutif	{"ud.adj": 1.0}
consécutifs	{"ud.adj": 1.0}
consécutive	{"ud.adj": 1.0}
consécutives	{"ud.adj": 1.0}
conséquence	{"ud.noun": 1.0}
conséquences	{"ud.noun": 1.0}
conséquent	{"ud.noun": 1.0}
contact	{"ud.noun": 1.0}
contacts	{"ud.noun": 1.0}
conte	{"ud.noun": 1.0}
contempler	{"ud.verb": 1.0}
contemporain	{"ud.adj": 1.0}
contemporaine	{"ud.adj": 1.0}
contenant	{"ud.verb": 1.0}
contenir	{"ud.verb": 1.0}
content	{"ud.adj": 1.0}
contente	{"ud.verb": 0.6666666666666666, "ud.adj": 0.3333333333333333}
contentieux	{"ud.noun": 1.0}
contenu	{"ud.noun": 0.8571428571428571, "ud.verb": 0.14285714285714285}
contes	{"ud.noun": 0.8, "ud.propn": 0.2}
contestation	{"ud.noun": 1.0}
conteste	{"ud.noun": 0.3333333333333333, "ud.verb": 0.6666666666666666}
contesté	{"ud.verb": 1.0}
contexte	{"ud.noun": 1.0}
contiennent	{"ud.verb": 1.0}
contient	{"ud.verb": 1.0}
continent	{"ud.noun": 1.0}
continental	{"ud.adj": 1.0}
continentale	{"ud.adj": 1.0}
continentales	{"ud.adj": 1.0}
continu	{"ud.adj": 0.75, "ud.verb": 0.25}
continua	{"ud.verb": 1.0}
continuant	{"ud.verb": 1.0}
continue	{"ud.verb": 0.9, "ud.adj": 0.1}
continuellement	{"ud.adv": 1.0}
continuent	{"ud.verb": 1.0}
continuer	{"ud.verb": 1.0}
continué	{"ud.verb": 1.0}
contradiction	{"ud.noun": 1.0}
contradictions	{"ud.noun": 1.0}
contraint	{"ud.adj": 0.18181818181818182, "ud.verb": 0.8181818181818182}
contrainte	{"ud.noun": 0.875, "ud.verb": 0.125}
contraintes	{"ud.noun": 1.0}
contraire	{"ud.noun": 0.8, "ud.adj": 0.2}
contrairement	{"ud.adv": 1.0}
contrat	{"ud.noun": 1.0}
contrats	{"ud.noun": 1.0}
contre	{"ud.adp": 0.9157088122605364, "ud.noun": 0.07662835249042145, "ud.adv": 0.007662835249042145}
contre-amiral	{"ud.noun": 1.0}
contre-attaque	{"ud.noun": 1.0}
contre-la-montre	{"ud.noun": 1.0}
contrebandiers	{"ud.noun": 1.0}
contrepartie	{"ud.noun": 1.0}
contribuent	{"ud.verb": 1.0}
contribuer	{"ud.verb": 1.0}
contribution	{"ud.noun": 1.0}
contributions	{"ud.noun": 1.0}
contribué	{"ud.verb": 1.0}
controversé	{"ud.adj": 1.0}
controversée	{"ud.adj": 0.6666666666666666, "ud.verb": 0.3333333333333333}
contrôle	{"ud.noun": 0.9285714285714286, "ud.verb": 0.07142857142857142}
contrôlent	{"ud.verb": 1.0}
contrôler	{"ud.verb": 1.0}
contrôles	{"ud.noun": 1.0}
contrôlé	{"ud.verb": 1.0}
contrôlée	{"ud.verb": 1.0}
convaincre	{"ud.verb": 1.0}
convaincu	{"ud.verb": 0.8, "ud.adj": 0.2}
convaincus	{"ud.verb": 1.0}
convenablement	{"ud.adv": 1.0}
convention	{"ud.noun": 1.0}
conventions	{"ud.noun": 0.75, "ud.propn": 0.25}
convergence	{"ud.noun": 1.0}
conversations	{"ud.noun": 1.0}
conversion	{"ud.noun": 1.0}
convertir	{"ud.verb": 1.0}
convient	{"ud.verb": 1.0}
convivial	{"ud.adj": 1.0}
conviviale	{"ud.adj": 1.0}
convoi	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
convoquer	{"ud.verb": 1.0}
convoqué	{"ud.verb": 1.0}
conçu	{"ud.verb": 1.0}
conçus	{"ud.verb": 1.0}
cool	{"ud.adj": 1.0}
coopération	{"ud.noun": 1.0}
coopérative	{"ud.adj": 0.8, "ud.noun": 0.2}
coordination	{"ud.noun": 0.7777777777777778, "ud.propn": 0.2222222222222222}
coordonne	{"ud.verb": 1.0}
coordonner	{"ud.verb": 1.0}
coordonnées	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
copenhague	{"ud.propn": 1.0}
copie	{"ud.noun": 0.8333333333333334, "ud.verb": 0.16666666666666666}
copies	{"ud.noun": 1.0}
copieux	{"ud.adj": 1.0}
coppa	{"ud.propn": 1.0}
coque	{"ud.noun": 1.0}
cordelia	{"ud.propn": 1.0}
cordes	{"ud.noun": 1.0}
cordoue	{"ud.propn": 1.0}
corniche	{"ud.noun": 1.0}
corolle	{"ud.noun": 1.0}
coronaire	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
corporation	{"ud.propn": 0.5, "ud.x": 0.3333333333333333, "ud.noun": 0.16666666666666666}
corps	{"ud.noun": 0.958904109589041, "ud.propn": 0.0410958904109589}
correct	{"ud.adj": 1.0}
correcte	{"ud.adj": 1.0}
correctement	{"ud.adv": 1.0}
correction	{"ud.noun": 1.0}
correspond	{"ud.verb": 1.0}
correspondance	{"ud.noun": 1.0}
correspondances	{"ud.noun": 1.0}
correspondant	{"ud.verb": 0.375, "ud.noun": 0.25, "ud.adj": 0.375}
correspondent	{"ud.verb": 1.0}
correspondre	{"ud.verb": 1.0}
corridas	{"ud.noun": 1.0}
corridor	{"ud.noun": 0.5, "ud.propn": 0.5}
corriger	{"ud.verb": 1.0}
corse	{"ud.adj": 0.4, "ud.propn": 0.6}
corée	{"ud.propn": 1.0}
cost	{"ud.noun": 0.3333333333333333, "ud.propn": 0.3333333333333333, "ud.x": 0.3333333333333333}
costa	{"ud.propn": 1.0}
costume	{"ud.noun": 1.0}
costumes	{"ud.noun": 1.0}
cotton	{"ud.propn": 1.0}
coté	{"ud.noun": 1.0}
cou	{"ud.noun": 1.0}
couche	{"ud.noun": 0.875, "ud.propn": 0.125}
couches	{"ud.noun": 0.8571428571428571, "ud.propn": 0.14285714285714285}
couleur	{"ud.noun": 1.0}
couleurs	{"ud.noun": 1.0}
couloir	{"ud.noun": 1.0}
country	{"ud.noun": 0.6, "ud.propn": 0.4}
county	{"ud.propn": 1.0}
coup	{"ud.noun": 1.0}
coupable	{"ud.adj": 0.625, "ud.noun": 0.375}
coupe	{"ud.noun": 0.9259259259259259, "ud.propn": 0.04938271604938271, "ud.verb": 0.024691358024691357}
couper	{"ud.verb": 1.0}
coupes	{"ud.noun": 0.625, "ud.propn": 0.375}
couple	{"ud.noun": 1.0}
couples	{"ud.noun": 1.0}
coupole	{"ud.propn": 0.5, "ud.noun": 0.5}
coups	{"ud.noun": 0.9285714285714286, "ud.propn": 0.07142857142857142}
coupures	{"ud.noun": 1.0}
coupé	{"ud.noun": 0.75, "ud.verb": 0.25}
cour	{"ud.noun": 0.972972972972973, "ud.propn": 0.02702702702702703}
courage	{"ud.noun": 1.0}
courageux	{"ud.adj": 1.0}
couramment	{"ud.adv": 1.0}
courant	{"ud.noun": 0.56, "ud.adj": 0.32, "ud.verb": 0.08, "ud.adp": 0.04}
courante	{"ud.adj": 1.0}
courantes	{"ud.adj": 1.0}
courants	{"ud.noun": 0.6363636363636364, "ud.adj": 0.2727272727272727, "ud.propn": 0.09090909090909091}
coureur	{"ud.noun": 1.0}
coureurs	{"ud.noun": 1.0}
courir	{"ud.verb": 1.0}
couronne	{"ud.noun": 0.75, "ud.propn": 0.125, "ud.verb": 0.125}
couronné	{"ud.verb": 1.0}
courrier	{"ud.noun": 1.0}
cours	{"ud.noun": 0.9939759036144579, "ud.propn": 0.006024096385542169}
course	{"ud.noun": 0.9375, "ud.propn": 0.0625}
courses	{"ud.noun": 1.0}
court	{"ud.adj": 0.65, "ud.propn": 0.1, "ud.verb": 0.2, "ud.x": 0.05}
courte	{"ud.adj": 1.0}
courtes	{"ud.adj": 1.0}
courts	{"ud.adj": 0.9090909090909091, "ud.noun": 0.09090909090909091}
cousin	{"ud.noun": 1.0}
coutume	{"ud.noun": 1.0}
couvent	{"ud.noun": 1.0}
couvents	{"ud.noun": 1.0}
couvercle	{"ud.noun": 1.0}
couverte	{"ud.verb": 0.5, "ud.adj": 0.5}
couverture	{"ud.noun": 1.0}
couvrant	{"ud.verb": 1.0}
couvre	{"ud.verb": 0.9090909090909091, "ud.propn": 0.09090909090909091}
couvrent	{"ud.verb": 1.0}
couvrir	{"ud.verb": 1.0}
coéquipier	{"ud.noun": 1.0}
coéquipiers	{"ud.noun": 1.0}
coût	{"ud.noun": 1.0}
coûteux	{"ud.adj": 1.0}
coûts	{"ud.noun": 1.0}
coûté	{"ud.verb": 1.0}
craignait	{"ud.verb": 1.0}
craignant	{"ud.verb": 1.0}
craignent	{"ud.verb": 1.0}
craindre	{"ud.verb": 1.0}
craint	{"ud.verb": 1.0}
crash	{"ud.noun": 1.0}
crau	{"ud.propn": 1.0}
crawford	{"ud.propn": 1.0}
crayon	{"ud.noun": 1.0}
crespiano	{"ud.propn": 1.0}
creuse	{"ud.propn": 0.3333333333333333, "ud.adj": 0.6666666666666666}
cri	{"ud.noun": 1.0}
crime	{"ud.noun": 1.0}
crimes	{"ud.noun": 1.0}
criminel	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
criminels	{"ud.adj": 0.6, "ud.noun": 0.4}
crique	{"ud.noun": 1.0}
cris	{"ud.noun": 1.0}
crise	{"ud.noun": 1.0}
crises	{"ud.noun": 1.0}
cristal	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
cristaux	{"ud.noun": 1.0}
critique	{"ud.noun": 0.5, "ud.adj": 0.36666666666666664, "ud.verb": 0.13333333333333333}
critiques	{"ud.noun": 0.9130434782608695, "ud.adj": 0.08695652173913043}
critiqué	{"ud.verb": 1.0}
critère	{"ud.noun": 1.0}
critères	{"ud.noun": 1.0}
croate	{"ud.adj": 1.0}
croates	{"ud.noun": 0.5, "ud.propn": 0.5}
croatie	{"ud.propn": 1.0}
croire	{"ud.verb": 1.0}
crois	{"ud.verb": 1.0}
croisade	{"ud.noun": 1.0}
croisement	{"ud.noun": 1.0}
croisent	{"ud.verb": 1.0}
croiseur	{"ud.noun": 0.8333333333333334, "ud.adj": 0.16666666666666666}
croissance	{"ud.noun": 1.0}
croissant	{"ud.noun": 0.4444444444444444, "ud.adj": 0.1111111111111111, "ud.verb": 0.2222222222222222, "ud.propn": 0.2222222222222222}
croissante	{"ud.adj": 1.0}
croisés	{"ud.noun": 0.75, "ud.verb": 0.25}
croit	{"ud.verb": 1.0}
croix	{"ud.noun": 1.0}
cross	{"ud.noun": 0.5, "ud.propn": 0.5}
croton	{"ud.propn": 1.0}
croyait	{"ud.verb": 1.0}
croyance	{"ud.noun": 1.0}
croyances	{"ud.noun": 1.0}
croyants	{"ud.noun": 1.0}
crue	{"ud.noun": 0.7777777777777778, "ud.adj": 0.2222222222222222}
cruellement	{"ud.adv": 1.0}
cruels	{"ud.adj": 1.0}
crus	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
cruz	{"ud.propn": 1.0}
crypte	{"ud.noun": 1.0}
crâne	{"ud.noun": 1.0}
crème	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
créant	{"ud.verb": 1.0}
créateur	{"ud.noun": 1.0}
créateurs	{"ud.noun": 1.0}
création	{"ud.noun": 1.0}
créations	{"ud.noun": 1.0}
créatrice	{"ud.adj": 0.3333333333333333, "ud.noun": 0.6666666666666666}
créature	{"ud.noun": 1.0}
crédit	{"ud.noun": 0.875, "ud.propn": 0.125}
crédits	{"ud.noun": 1.0}
crée	{"ud.verb": 1.0}
créer	{"ud.verb": 1.0}
créole	{"ud.adj": 1.0}
créé	{"ud.verb": 1.0}
créée	{"ud.verb": 1.0}
créées	{"ud.verb": 1.0}
créés	{"ud.verb": 1.0}
crêpes	{"ud.noun": 1.0}
cuba	{"ud.propn": 1.0}
cubain	{"ud.adj": 1.0}
cubes	{"ud.noun": 1.0}
cuir	{"ud.noun": 1.0}
cuirassés	{"ud.noun": 1.0}
cuisine	{"ud.noun": 1.0}
cuivre	{"ud.noun": 1.0}
culminant	{"ud.verb": 0.3333333333333333, "ud.adj": 0.6666666666666666}
culte	{"ud.noun": 0.8, "ud.adj": 0.2}
cultes	{"ud.noun": 1.0}
cultivé	{"ud.verb": 1.0}
culture	{"ud.noun": 0.9111111111111111, "ud.propn": 0.08888888888888889}
culturel	{"ud.adj": 1.0}
culturelle	{"ud.adj": 1.0}
culturelles	{"ud.adj": 1.0}
culturels	{"ud.adj": 1.0}
cultures	{"ud.noun": 1.0}
cup	{"ud.propn": 0.8181818181818182, "ud.noun": 0.18181818181818182}
cure	{"ud.noun": 0.75, "ud.propn": 0.25}
currie	{"ud.propn": 1.0}
cursus	{"ud.noun": 1.0}
curtis	{"ud.propn": 1.0}
curé	{"ud.noun": 1.0}
cyclables	{"ud.adj": 1.0}
cycle	{"ud.propn": 0.05555555555555555, "ud.noun": 0.9444444444444444}
cycles	{"ud.noun": 1.0}
cyclisme	{"ud.noun": 1.0}
cycliste	{"ud.adj": 1.0}
cylindres	{"ud.noun": 1.0}
cyrillique	{"ud.adj": 0.8125, "ud.noun": 0.1875}
cyrus	{"ud.propn": 1.0}
câble	{"ud.noun": 1.0}
câbles	{"ud.noun": 1.0}
cède	{"ud.verb": 1.0}
céder	{"ud.verb": 1.0}
cédé	{"ud.verb": 1.0}
célèbre	{"ud.adj": 0.9310344827586207, "ud.verb": 0.06896551724137931}
célèbres	{"ud.adj": 1.0}
célébration	{"ud.noun": 1.0}
célébrer	{"ud.verb": 1.0}
célébrités	{"ud.noun": 1.0}
céramiques	{"ud.noun": 1.0}
céréales	{"ud.noun": 1.0}
cérémonie	{"ud.noun": 1.0}
césar	{"ud.propn": 1.0}
cévennes	{"ud.propn": 1.0}
córdoba	{"ud.propn": 1.0}
côte	{"ud.noun": 0.6, "ud.propn": 0.4}
côtes	{"ud.noun": 1.0}
côtes-d'armor	{"ud.propn": 1.0}
côtier	{"ud.adj": 1.0}
côtière	{"ud.adj": 1.0}
côtières	{"ud.adj": 1.0}
côtoie	{"ud.verb": 1.0}
côté	{"ud.noun": 1.0}
côtés	{"ud.noun": 0.9444444444444444, "ud.adj": 0.05555555555555555}
cœur	{"ud.noun": 0.9117647058823529, "ud.propn": 0.08823529411764706}
cœurs	{"ud.noun": 1.0}
d	{"ud.adp": 0.36363636363636365, "ud.propn": 0.36363636363636365, "ud.x": 0.2727272727272727}
d'	{"ud.adp": 0.9669988925802879, "ud.det": 0.031672203765227024, "ud.propn": 0.00132890365448505}
da	{"ud.sym": 0.09090909090909091, "ud.x": 0.18181818181818182, "ud.noun": 0.09090909090909091, "ud.propn": 0.36363636363636365, "ud.adp": 0.2727272727272727}
daily	{"ud.propn": 1.0}
daimler	{"ud.propn": 1.0}
dali	{"ud.propn": 1.0}
dallas	{"ud.propn": 1.0}
damas	{"ud.propn": 1.0}
dame	{"ud.noun": 0.7, "ud.propn": 0.3}
dames	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
dan	{"ud.propn": 1.0}
dance	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
danemark	{"ud.propn": 1.0}
danger	{"ud.noun": 1.0}
dangereuse	{"ud.adj": 1.0}
dangereux	{"ud.adj": 1.0}
dangers	{"ud.noun": 1.0}
daniel	{"ud.propn": 1.0}
danielle	{"ud.propn": 1.0}
danois	{"ud.adj": 1.0}
danoise	{"ud.adj": 1.0}
dans	{"ud.adp": 1.0}
danse	{"ud.noun": 1.0}
danseurs	{"ud.noun": 1.0}
darwin	{"ud.propn": 1.0}
data	{"ud.propn": 0.6, "ud.x": 0.2, "ud.noun": 0.2}
datant	{"ud.verb": 1.0}
date	{"ud.noun": 0.8181818181818182, "ud.verb": 0.18181818181818182}
datent	{"ud.verb": 1.0}
dates	{"ud.noun": 1.0}
dauphins	{"ud.noun": 1.0}
dauphiné	{"ud.propn": 1.0}
davantage	{"ud.adv": 1.0}
david	{"ud.propn": 1.0}
davis	{"ud.propn": 0.8571428571428571, "ud.x": 0.14285714285714285}
daïra	{"ud.noun": 1.0}
dc	{"ud.propn": 0.75, "ud.x": 0.25}
de	{"ud.adp": 0.9843697759946506, "ud.det": 0.015254095620193916, "ud.propn": 0.00033433634236041456, "ud.adv": 4.179204279505182e-05}
dean	{"ud.propn": 1.0}
degré	{"ud.noun": 1.0}
degrés	{"ud.noun": 1.0}
dehors	{"ud.noun": 0.6363636363636364, "ud.adv": 0.36363636363636365}
dei	{"ud.adp": 0.3333333333333333, "ud.x": 0.6666666666666666}
del	{"ud.adp": 0.75, "ud.propn": 0.2, "ud.x": 0.05}
della	{"ud.adp": 0.4, "ud.propn": 0.6}
delta	{"ud.propn": 0.75, "ud.noun": 0.25}
delà	{"ud.adv": 1.0}
demain	{"ud.adv": 1.0}
demanda	{"ud.verb": 1.0}
demandant	{"ud.verb": 1.0}
demande	{"ud.verb": 0.48484848484848486, "ud.noun": 0.5151515151515151}
demander	{"ud.verb": 1.0}
demandes	{"ud.noun": 0.875, "ud.verb": 0.125}
demandé	{"ud.verb": 1.0}
demeure	{"ud.verb": 0.6842105263157895, "ud.noun": 0.3157894736842105}
demeurent	{"ud.verb": 1.0}
demi	{"ud.adj": 0.6923076923076923, "ud.noun": 0.23076923076923078, "ud.adv": 0.07692307692307693}
demi-finale	{"ud.noun": 1.0}
demi-finales	{"ud.noun": 1.0}
demi-groupe	{"ud.noun": 1.0}
denis	{"ud.propn": 1.0}
densité	{"ud.noun": 1.0}
dents	{"ud.noun": 1.0}
depuis	{"ud.adp": 0.9129032258064517, "ud.adv": 0.08709677419354839}
der	{"ud.propn": 0.8571428571428571, "ud.det": 0.14285714285714285}
derek	{"ud.propn": 1.0}
dernier	{"ud.adj": 0.6233766233766234, "ud.noun": 0.35714285714285715, "ud.pron": 0.01948051948051948}
derniers	{"ud.noun": 0.5208333333333334, "ud.adj": 0.4791666666666667}
dernière	{"ud.noun": 0.21428571428571427, "ud.adj": 0.7571428571428571, "ud.pron": 0.02857142857142857}
dernières	{"ud.adj": 0.9047619047619048, "ud.noun": 0.09523809523809523}
derrière	{"ud.adp": 0.9310344827586207, "ud.adv": 0.06896551724137931}
des	{"ud._": 0.646392896781354, "ud.det": 0.35294117647058826, "ud.adp": 0.0004439511653718091, "ud.propn": 0.00022197558268590456}
descartes	{"ud.propn": 1.0}
descend	{"ud.verb": 1.0}
descendance	{"ud.noun": 1.0}
descendant	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
descendre	{"ud.verb": 1.0}
descente	{"ud.noun": 1.0}
description	{"ud.noun": 1.0}
design	{"ud.noun": 1.0}
despote	{"ud.noun": 1.0}
desquelles	{"ud._": 1.0}
desserrage	{"ud.noun": 1.0}
dessert	{"ud.noun": 0.8461538461538461, "ud.verb": 0.15384615384615385}
desserte	{"ud.noun": 1.0}
desserts	{"ud.noun": 1.0}
desservie	{"ud.verb": 1.0}
dessin	{"ud.noun": 1.0}
dessine	{"ud.verb": 1.0}
dessins	{"ud.noun": 1.0}
dessiné	{"ud.verb": 1.0}
dessinée	{"ud.verb": 0.6666666666666666, "ud.adj": 0.3333333333333333}
dessous	{"ud.adv": 0.2, "ud.noun": 0.8}
dessus	{"ud.adv": 0.3333333333333333, "ud.noun": 0.6666666666666666}
destin	{"ud.noun": 1.0}
destination	{"ud.noun": 1.0}
destiné	{"ud.verb": 1.0}
destinée	{"ud.verb": 1.0}
destinées	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
destinés	{"ud.verb": 1.0}
destruction	{"ud.noun": 1.0}
detroit	{"ud.propn": 1.0}
dette	{"ud.noun": 1.0}
dettes	{"ud.noun": 1.0}
deux	{"ud.num": 0.977112676056338, "ud.pron": 0.01584507042253521, "ud.noun": 0.007042253521126761}
deuxième	{"ud.adj": 0.9333333333333333, "ud.noun": 0.06666666666666667}
devaient	{"ud.verb": 1.0}
devait	{"ud.verb": 1.0}
devant	{"ud.adp": 0.9264705882352942, "ud.verb": 0.058823529411764705, "ud.noun": 0.014705882352941176}
devenant	{"ud.verb": 1.0}
devenir	{"ud.verb": 0.975609756097561, "ud.noun": 0.024390243902439025}
devenu	{"ud.verb": 1.0}
devenue	{"ud.verb": 1.0}
devenus	{"ud.verb": 1.0}
devereaux	{"ud.propn": 1.0}
deviendra	{"ud.verb": 1.0}
deviennent	{"ud.verb": 1.0}
devient	{"ud.verb": 1.0}
devinrent	{"ud.verb": 1.0}
devint	{"ud.verb": 1.0}
devis	{"ud.noun": 1.0}
devise	{"ud.noun": 1.0}
devoir	{"ud.noun": 0.7777777777777778, "ud.verb": 0.2222222222222222}
devons	{"ud.verb": 1.0}
devra	{"ud.verb": 1.0}
devraient	{"ud.verb": 1.0}
devrait	{"ud.verb": 1.0}
devront	{"ud.verb": 1.0}
di	{"ud.adp": 0.9130434782608695, "ud.x": 0.08695652173913043}
diable	{"ud.noun": 1.0}
diabète	{"ud.noun": 1.0}
diagnostic	{"ud.noun": 1.0}
dialectes	{"ud.noun": 1.0}
dialectique	{"ud.noun": 0.5, "ud.adj": 0.5}
dialogue	{"ud.noun": 0.8571428571428571, "ud.propn": 0.14285714285714285}
diamant	{"ud.noun": 1.0}
diamants	{"ud.noun": 1.0}
diamètre	{"ud.noun": 1.0}
diana	{"ud.propn": 1.0}
diarrhées	{"ud.noun": 1.0}
dick	{"ud.propn": 1.0}
dictature	{"ud.noun": 1.0}
dictatures	{"ud.noun": 1.0}
die	{"ud.det": 0.3333333333333333, "ud.propn": 0.6666666666666666}
diego	{"ud.propn": 1.0}
diesel	{"ud.noun": 1.0}
dietrich	{"ud.propn": 1.0}
dieu	{"ud.propn": 0.8, "ud.noun": 0.2}
dieux	{"ud.noun": 1.0}
difficile	{"ud.adj": 1.0}
difficiles	{"ud.adj": 1.0}
difficulté	{"ud.noun": 1.0}
difficultés	{"ud.noun": 1.0}
diffusant	{"ud.verb": 1.0}
diffuse	{"ud.verb": 0.8571428571428571, "ud.adj": 0.14285714285714285}
diffusion	{"ud.noun": 1.0}
diffusé	{"ud.verb": 1.0}
diffusée	{"ud.verb": 1.0}
